Abdun,عبدون
Abu Al 3zam,ابو العزم
Abu Alandah,ابو علندا
Abu As Salih,ابو الصالح
Abu Ash Shahm,ابو الشهم
Abu Az Zayt,ابو الزيات
Abu Gharah,ابو غارة
Abu Hammur,ابو حمور
Abu Nukhaylah,ابو نخيلة
Abu Shawkah,ابو شوكة
Abu Thuhur,ابو طهور
Ad Da3jaa,الدعجاء
Ad Da3janiyah,الدعجانية
Ad Dabab,الدباب
Ad Dabalik,الدبالك
Ad Dabbusah,الدبوسه
Ad Dahdah,الدحدح
Ad Daliyah,الدلية
Ad Dinariyah,الدينارية
Ad Dubay3iyah,الدبعية
Ad Durrah,الدرة
Ad Duwaykhilah,الدويخلة
Adh7 Dhubab,أدح دحباب
Afra,عفرا
Ail,ايل
Ajloun,عجلون
Al 3zziyah,العزيّة
Al Abbasiyah,العباسية
Al Adhmah,الادهمة
Al Aghwar Al Janoobiyah,الأغوار الجنوبية
Al Aghwar Al Shamalyah,الأغوار الشمالية
Al Amarah,العمرة
Al Amiriyah,العامرية
Al Aqabah,العقبة
Al Arda,العرضا
Al Areed,العريض
Al Aridah,العريضة
Al Arzah,الأرزة
Al Ashrafiyah,الشريفية
Al Awaynah,العوينة
Al Bad7iyah,البدحية
Al Badiah Al Shamaliyah Al Gharbiyah,البادية الشمالية الغربية
Al Badiah Al Shamaliyah,البادية الشمالية
Al Bahhath Ash Shamali,البحاط الشمالي
Al Bahr,البحر
Al Bakuli,البكولي
Al Barihah,البريحا
Al Batraa,البطراء
Al Birkatayn,البركتاين
Al Bunayyat Ash Shamaliyah,البنيات الشمالية
Al Buqaan,البقعين
Al Buqah,البقعة
Al Buqay3,البقاع
Al Buraij,البريج
Al Buraq,البراق
Al Butahi,البطاحي
Al Buwayb,البويب
Al Dhilail,الضليل
Al Dier,الدير
Al Faisaleyah,الفيصلية
Al Farsh,الفرش
Al Fawwarah,الفوارة
Al Fityan,الفتيان
Al Furayn,الفراين
Al Ghamr,الغمر
Al Habbabiyah,الحبابية
Al Haddadah,وادي الحدادة
Al Halq,الحلق
Al Hamiyah,الحمية
Al Hammah As Samraa,الحمة السمراء
Al Hanaaifah,الحنائفة
Al Hannanah,الحنّانة
Al Harawiyah,الحراويه
Al Harbaj,الحرباج
Al Hasa,الحسا
Al Hashimiya,الهاشمية
Al Hawayah,الحوية
Al Hawwasiyah,الحواسية
Al Hirsh,الحرش
Al Hittah,الحطة
Al Hudayb,الحديب
Al Hulaylah,الهليلة
Al Hulaylah,الهلايلة
Al Hummar,الحمر
Al Humrah,الحمرا
Al Husayniyya,الحسينية
Al Hushayrah,الحشابرة 
Al Ifranj,الافرنج
Al Iqtaniyah,الاقطانية
Al Jafr,الجفر
Al Jamiah,الجامعة
Al Jirm,الجرم
Al Jiza,الجيزة
Al Juththah,الجثة
Al Juwayyidah,الجويدة
Al Karak,الكرك
Al Karamah Extension,إمتداد الكرامة
Al Khaldyah,الخالدية
Al Kharshah,الكرشة
Al Khawarij,الخوارج
Al Khiss,ألخص
Al Khuraybah,الخريبة
Al Koura,الكوره
Al Kur,الكور
Al Kursi,الكرسي
Al Ma7zul,المحزول
Al Mabrak,المبارك
Al Madabah,المدبّة
Al Madashash,المدشاش
Al Madhbah,المدهبة
Al Madinah,المدينة
Al Madrasah,المدرسة
Al Mahattah,المحطة
Al Majannah,المجنة
Al Makhbath,المخباث
Al Makhzat,الماخذات
Al Manashsh,المناشش
Al Manshiyah,المنشية
Al Mantarah,المنطرة
Al Maqam,المقام
Al Maqir,المقير
Al Mara3ah,المرعى
Al Marbat,المربط
Al Marmadah,المرمدة
Al Masarrah,المسرة
Al Mashariqah,المشارقة
Al Mashhad,المشحد
Al Mashnaqah,المشنقة
Al Masmar,المسمار
Al Mastaba,المصطبة
Al Matrabah,المتربة
Al Mawjib,الموجب
Al Mazar Al Janoubi,المزار الجنوبي
Al Mazar Ash Shamali,المزار الشمالي
Al Mazar,المزار
Al Mazarib,المزاريب
Al Miqat,الميقات
Al Mudayyinah,المدينة
Al Mughayrifat,المغيرفات
Al Muh7,الموح
Al Muhaysin,المحيسن
Al Mukayfitah Ash Sharqiyah,المكيفتة الشرقية
Al Mukhayzin,المخيزن
Al Mumallah,المملح
Al Muqabalayn, المقابلين
Al Muraygha,المريغة
Al Mushayrifah,المشيرفة
Al Mustadirah,المستديرة
Al Mutillah,المطلة
Al Muwayb,مؤاب
Al Muzaqqar,المزقر
Al Nasreiah,الناصرية
Al Petra,البتراء
Al Qartu3iyah,القرتوعية
Al Qasr,القصر
Al Qassam Al Gharbi,القسام الغربي
Al Qassam Ash Sharqi,القسام الشرقي
Al Qatrana,القطرانة
Al Quaysmh,القويسمة
Al Qunaytirah,القنيطره
Al Qusayr,لقصير
Al Qutnah,قطنة
Al Quwayra,القويرة
Al Ruwaished,الرويشد
Al Salihia,الصالحية
Al Shobak,الشوبك
Al Thughrah,الثغرة
Al Umayri,العميري
Al Umyan,العميان
Al Wala,الولا
Al Wastiyya,الوسطية
Al Yadudah,اليادودة
Al Yamaniyah,اليمانية
Al Zukhaynat,الذخينات
Al bahrah,البحره
Alan Wa Zay,علان وزيّ
Alaqan,علقن
Amman,عمان
Ammuriya,عمورية
An Naq3,النقع
An Naqb,النقب
An Nukhaylah,النخايلة
An Nuqay3ah,النقيعة
An Nusayhi,النصايحي
An Nuwayjis,النويجس
An Nuwayqah,النويقة
Aqabah,العقبة
Ar Raas,الرأس
Ar Rabaah,الربعة
Ar Rabah,الرباح
Ar Rabahiyah,الرباحية
Ar Rabiyah,الرابية
Ar Rajib,الراجب
Ar Ramtha,الرمثا
Ar Rashadiyah,الراشدية
Ar Rawnaq,الرونق
Ar Riwaq,الرواق
Ar Rusayfa,الرصيفة
Ar Rusayfah,الرصيفة
Ar Ruwayhi,الروايحي
ArRusayfa,الرصيفة
Arjan,عرجان
Arqib Fuqu3,عرقب فقوع
Arwim,ارويم
As Sa3adah,السعادة
As Safiyah,الصفية
As Salt,السلط
As Samaqah,السمقة
As Samraa,السمراء
As Samt,السمات
As Saqrah,الصقرة
As Sawalihah,الصوالحة
As Shah,الشاه
As Sira,السيرة
As Sufayri,الصفاير
As Sukkar,السكر
Ash Shaghur,الشغار
Ash Sharah,الشراه
Ash Shaybaa,الشيباء
Ash Shaykh Muhammad,الشيخ محمد
Ash Shufatah,الشطافة
Ash Shumaysani,الشميساني
Ash Shuna Al Janoubyah,الشونة الجنوبية
Askan Al Minaa,اسكان الميناء
Askan Dabbabnah,اسكان دبابنة
At Talaai`,التلاع
At Tarazin,الترازين
At Tayba,الطيبة
At Taym,الطايم
At Turiyah,الطورية
At Turkumaniyah,التركماني
At Tuwayqiyah,الطوايقية
Ath Thallajah,الثلاجة
Ath Thamaail,الثماعيل
Awjan Ash Shamali,عوجان الشمالي
Awjan Ash Sharqi,عوجان الشرقي
Awjan al Gharbi,عوجان الغربي
Ayn Al Basha,عين الباشا
Ayn As Safar,عين الصفر
Ayn Khunayzir,عين خنيزير
Ayy,عي
Az Zarraah,الزراعة
Az Zawahreh,الزواهرة
Azraq Ash Shishan,أزرق الشيشان
Azraq,الأزرق
Ba3ir,بعير
Bab An Naqb,باب النقلا
Bada,بادا
Bahlul,بهلول
Balad Ash Shaykh,بلاد الشايخ
Balama,بلعما
Balqa,البلقاء
Bani Kinana,بني كنانة
Bani Obayd,بني عبيد
Barazin,بارازن
Bayt Al Husayni,بيت الحسيني
Bayt Shahm,بيت شهم
Bayt Zir3ah,بيت زرعة
Beerain,بيرين
Biar Hamad,بئر حمد
Bilal,بلال
Bir Abu Al 3laq,بير ابو العلق
Bir Ad Dabbaghat,بير الدباغات
Bir At Tafi,بير الطافي
Busayrah,بصيرة
Da7a7ah,دحاحه
Dab3an El Mashagbeh,ضبعان المشاقبة
Daba3ah,ضبعة
Dawgarah,دوقرة
Dawr,داور
Dead Sea,البحر الميت
Deir Alla,دير علا
Dibbin National Park,منتزه دبين القومي
Dier Ajlun,دير عجلون
Dulayqah,دليقه
Dusil,دوسل
Duwas,دواس
Erhab,ارحاب
Es Sur,السور
Far3 Wadi Al Abyad,فرع وادي الابيض
Farah,فرح
Fqou,فقوع
Furaydis,فرايدس
Ghamad Al Ghusayn,غمد الغصاين
Gharisah,غريسة
Gharqa,غرقة
Ghawr Abu `Ubaydah,غور ابو عبيدة
Ghawr Al Hadithah,غور الحديثة
Ghawr Al Katar,غور الكتر
Ghawr Al Mazrha,غور المزرعة
Ghawr Al Muaddi,غور المؤدي
Ghawr Al Safi,غور الصافي
Ghawr Al Wahadinah,غور الوحدينة
Ghawr Damiya wa Ash Shiqaq,غور دامية والشقاق
Ghawr Farah,غور فرح
Ghawr Nimrin,غوار نمرين
Ghawr al Arba3in,غور الاربعين
Ghzzur,غزّور
Hadabat Qarah,هضبة قرح
Harrat Ar Rujaylah,حارة الرجايلة
Harrat Mushanshal,حارة مشنشل
Hosha,حوشا
Husayn Al 3ali Al Falah,حسين العالي الفالح
Husaynan,حسينان
Husban,حسبان
Ibharmalah,ابحرماله
Ibn Dhib,ابن دهيب
Id3an,ادعان
Industrial Estate,المدينة الصناعية
Ira Wa Yarqa,عيرا ويرقا
Iraq Abu Az Zighan,عراق ابو الزغن
Iraq Al 3abd,عراق العبد
Iraq At Tahunah,عراق الطاحونة
Irbid,اربد
Irjan,عرجان
Iskan Sharikat Al Fusfat,اسكان شركة الفوسفات
Iskandar,اسكندر
Izbat Al Bisharat,عزبة البشارات
Jabal Abu Zaynah,جبل ابو زينة
Jabal Abu Zaytunah,جبل أبو زيتونة
Jabal Al 3rdah,جبل العرضا
Jabal Al Ju3aydi,جبل الجوعيضي
Jabal Al Madhbah,جبل المدحبة
Jabal Al Ulu,جبل العلو
Jabal Ash Shurayyah,جبل الشريا
